,Code,name,stat_area_type,total_pop,weighted_density
0,10100,"Aberdeen, SD",Micropolitan Statistical Area,42608,926.3880464071701
1,10140,"Aberdeen, WA",Micropolitan Statistical Area,71454,501.6987239623931
2,10180,"Abilene, TX",Metropolitan Statistical Area,169000,1810.3596514485807
3,10220,"Ada, OK",Micropolitan Statistical Area,38289,746.8683484842428
4,10300,"Adrian, MI",Micropolitan Statistical Area,98585,848.2155822422243
5,10380,"Aguadilla-Isabela, PR",Metropolitan Statistical Area,315100,1544.8235697132418
6,10420,"Akron, OH",Metropolitan Statistical Area,703398,2363.8034949600515
7,10460,"Alamogordo, NM",Micropolitan Statistical Area,65130,983.2570249481838
8,10500,"Albany, GA",Metropolitan Statistical Area,150525,921.6672682274766
9,10540,"Albany-Lebanon, OR",Metropolitan Statistical Area,121074,1439.5275009386708
10,10580,"Albany-Schenectady-Troy, NY",Metropolitan Statistical Area,881862,2936.615140704795
11,10620,"Albemarle, NC",Micropolitan Statistical Area,60875,363.33134046021496
12,10660,"Albert Lea, MN",Micropolitan Statistical Area,30619,953.3191065170336
13,10700,"Albertville, AL",Micropolitan Statistical Area,94738,337.07832855680607
14,10740,"Albuquerque, NM",Metropolitan Statistical Area,905049,3532.6618882570287
15,10760,"Alexander City, AL",Micropolitan Statistical Area,51711,91.55774522772117
16,10780,"Alexandria, LA",Metropolitan Statistical Area,154385,812.3542381233977
17,10820,"Alexandria, MN",Micropolitan Statistical Area,36891,301.5642938357232
18,10860,"Alice, TX",Micropolitan Statistical Area,52752,684.6310228663352
19,10900,"Allentown-Bethlehem-Easton, PA-NJ",Metropolitan Statistical Area,832790,3866.6879037516114
20,10940,"Alma, MI",Micropolitan Statistical Area,41319,1884.9970433835283
21,10980,"Alpena, MI",Micropolitan Statistical Area,28730,728.6057398957315
22,11020,"Altoona, PA",Metropolitan Statistical Area,124736,2356.767319583077
23,11060,"Altus, OK",Micropolitan Statistical Area,25574,858.2534155288024
24,11100,"Amarillo, TX",Metropolitan Statistical Area,261827,2578.7938547682475
25,11140,"Americus, GA",Micropolitan Statistical Area,35855,291.2810957224332
26,11180,"Ames, IA",Metropolitan Statistical Area,122269,2238.395922289001
27,11220,"Amsterdam, NY",Micropolitan Statistical Area,49500,1461.393235350466
28,11260,"Anchorage, AK",Metropolitan Statistical Area,399360,2946.2466323146914
29,11380,"Andrews, TX",Micropolitan Statistical Area,17577,2184.385693787903
30,11420,"Angola, IN",Micropolitan Statistical Area,34459,227.69290002322847
31,11460,"Ann Arbor, MI",Metropolitan Statistical Area,361509,3603.6566645116236
32,11500,"Anniston-Oxford, AL",Metropolitan Statistical Area,115527,525.8406644777567
33,11540,"Appleton, WI",Metropolitan Statistical Area,233025,1961.2473851644404
34,11580,"Arcadia, FL",Micropolitan Statistical Area,35675,492.2664934686813
35,11620,"Ardmore, OK",Micropolitan Statistical Area,58250,465.30142939745525
36,11640,"Arecibo, PR",Metropolitan Statistical Area,188012,1746.2956932917868
37,11660,"Arkadelphia, AR",Micropolitan Statistical Area,22495,483.01946501275955
38,11700,"Asheville, NC",Metropolitan Statistical Area,445625,765.8722011392065
39,11740,"Ashland, OH",Micropolitan Statistical Area,53299,505.1403995037099
40,11780,"Ashtabula, OH",Micropolitan Statistical Area,98622,693.5932771912946
41,11820,"Astoria, OR",Micropolitan Statistical Area,38021,955.3820244438972
42,11860,"Atchison, KS",Micropolitan Statistical Area,16466,848.435738639245
43,11900,"Athens, OH",Micropolitan Statistical Area,65563,2963.7886399836902
44,11940,"Athens, TN",Micropolitan Statistical Area,52569,240.99815988398421
45,11980,"Athens, TX",Micropolitan Statistical Area,79687,319.491798609091
46,12020,"Athens-Clarke County, GA",Metropolitan Statistical Area,202780,1606.3739845877992
47,12060,"Atlanta-Sandy Springs-Alpharetta, GA",Metropolitan Statistical Area,5700990,2369.9658545425586
48,12100,"Atlantic City-Hammonton, NJ",Metropolitan Statistical Area,272926,3371.8766123166797
49,12120,"Atmore, AL",Micropolitan Statistical Area,37621,100.0771584400591
50,12140,"Auburn, IN",Micropolitan Statistical Area,42524,407.70252064708797
51,12180,"Auburn, NY",Micropolitan Statistical Area,78319,1300.7825956814493
52,12220,"Auburn-Opelika, AL",Metropolitan Statistical Area,156597,1218.04340579181
53,12260,"Augusta-Richmond County, GA-SC",Metropolitan Statistical Area,589519,1108.3688152917985
54,12300,"Augusta-Waterville, ME",Micropolitan Statistical Area,121289,421.33451377183457
55,12380,"Austin, MN",Micropolitan Statistical Area,39386,1862.507448057921
