Date,7day Rolling Avg Positive Rate,Cases,Cases % change,Cases Doubling time,Cases Rolling % change,Deaths,Deaths % change,Deaths Doubling time,Deaths Rolling % change,New Cases,New Deaths,New Tests Performed,Positive Rate,Tests Performed,Tests Performed % change,Tests Performed Doubling time,Tests Performed Rolling % change,dateChecked,fips,hash,hospitalized,hospitalizedCumulative,hospitalizedCurrently,hospitalizedIncrease,inIcuCumulative,inIcuCurrently,negative,negativeIncrease,onVentilatorCumulative,onVentilatorCurrently,pending,posNeg,recovered,state,totalTestResults
2020-03-07,0.0,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,2020-03-07T21:00:00Z,01,1d94a3b00af81e57b35a00c0eeaa339ec76d962a,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,AL,0.0
2020-03-08,0.0,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,2020-03-08T20:00:00Z,01,dc8486565b986e301a3cb52dda7d6014007253e4,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,AL,0.0
2020-03-09,0.0,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,2020-03-09T20:00:00Z,01,3c15dbef6838aa05f46554b8f49c5d96677df531,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,AL,0.0
2020-03-10,0.0,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,2020-03-10T20:00:00Z,01,d77d1bec988a8d98086652dbe2ec43647b585934,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,AL,0.0
2020-03-11,0.0,0.0,0.0,,,0.0,0.0,,,0.0,0.0,10.0,0.0,10.0,0.0,,,2020-03-11T20:00:00Z,01,e4593577708b6182b9126434908df283def67838,0.0,0.0,,0.0,0.0,,10.0,10.0,0.0,,0.0,10.0,,AL,10.0
2020-03-12,0.0,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,10.0,0.0,,,2020-03-12T20:00:00Z,01,34204c36040e342af491e5329aca50e88f2cbaba,0.0,0.0,,0.0,0.0,,10.0,0.0,0.0,,0.0,10.0,,AL,10.0
2020-03-13,0.0,1.0,0.0,,,0.0,0.0,,,1.0,0.0,2.0,0.08333333333333333,12.0,0.19999999999999996,,,2020-03-13T20:00:00Z,01,b9e856f0b5f6b1893dbe080ee99cbebd5723f4f8,0.0,0.0,,0.0,0.0,,11.0,1.0,0.0,,0.0,12.0,,AL,12.0
2020-03-14,0.08108108108108109,6.0,5.0,,,0.0,0.0,,,5.0,0.0,16.0,0.08108108108108109,74.0,5.166666666666667,,,2020-03-14T20:00:00Z,01,5c89c1e4d5be4e39281e7629e2d8969f9d54bb00,0.0,0.0,,0.0,0.0,,22.0,11.0,0.0,,46.0,28.0,,AL,28.0
2020-03-15,0.13953488372093023,12.0,1.0,,,0.0,0.0,,,6.0,0.0,12.0,0.13953488372093023,86.0,0.16216216216216206,,,2020-03-15T20:00:00Z,01,bc792edfeb4365aed8c64e6ff682049380018d28,0.0,0.0,,0.0,0.0,,28.0,6.0,0.0,,46.0,40.0,,AL,40.0
2020-03-16,0.2916666666666667,28.0,1.3333333333333335,,,0.0,0.0,,,16.0,0.0,16.0,0.2916666666666667,96.0,0.11627906976744184,,,2020-03-16T20:00:00Z,01,3efe0ea61bb6932f1d608f9e24d38fcafaa2c04c,0.0,0.0,,0.0,0.0,,28.0,0.0,0.0,,40.0,56.0,,AL,56.0
2020-03-17,0.5625,36.0,0.2857142857142858,,,0.0,0.0,,,8.0,0.0,8.0,0.5625,64.0,-0.33333333333333337,,,2020-03-17T20:00:00Z,01,27d195514d6511642ecafb4148f51bd1cf06894d,0.0,0.0,,0.0,0.0,,28.0,0.0,0.0,,0.0,64.0,,AL,64.0
2020-03-18,0.71875,46.0,0.2777777777777777,,,0.0,0.0,,,10.0,0.0,10.0,0.6216216216216216,74.0,0.15625,2.4242212080111867,0.330993577811064,2020-03-18T20:00:00Z,01,45a12e7b90dfc3888e7a67b4f579327e80d6dee0,0.0,0.0,,0.0,0.0,,28.0,0.0,0.0,,0.0,74.0,,AL,74.0
2020-03-19,0.7906976744186046,68.0,0.4782608695652173,,,0.0,0.0,,,22.0,0.0,22.0,0.7083333333333334,96.0,0.29729729729729737,2.1452424735347866,0.38141593646790684,2020-03-19T20:00:00Z,01,cab25ff0e7f7b888b8cba2df5c54273cad43f3ca,0.0,0.0,,0.0,0.0,,28.0,0.0,0.0,,0.0,96.0,,AL,96.0
2020-03-20,0.8247422680412371,81.0,0.19117647058823528,1.1041270687500506,0.8734440045744789,0.0,0.0,,,13.0,0.0,13.0,0.7431192660550459,109.0,0.13541666666666674,2.1990299096031074,0.3705414631695987,2020-03-20T20:00:00Z,01,6bbe154eecf958487c0256f6d6b95eae55c038d8,0.0,0.0,,0.0,0.0,,28.0,0.0,0.0,,0.0,109.0,,AL,109.0
2020-03-21,1.5128205128205128,124.0,0.5308641975308641,1.602111561188243,0.5413305143392402,0.0,0.0,,,43.0,0.0,43.0,0.8157894736842105,152.0,0.3944954128440368,6.740658893368507,0.1083038409067234,2020-03-21T20:00:00Z,01,de15c7bdfb3b72e13399f1aaa8d69612f69f0837,0.0,0.0,,0.0,0.0,,28.0,0.0,0.0,,0.0,152.0,,AL,152.0
2020-03-22,0.08311345646437995,138.0,0.11290322580645151,1.986626058317772,0.4175169572551669,0.0,0.0,,,14.0,0.0,1450.0,0.08614232209737828,1602.0,9.539473684210526,1.659006135640973,0.5186301177803867,2020-03-22T20:00:00Z,01,336c2b990aa3df11f73436c012fb53a71c5b36fd,0.0,0.0,,0.0,0.0,,1464.0,1436.0,0.0,,0.0,1602.0,,AL,1602.0
2020-03-23,0.08006912442396313,167.0,0.21014492753623193,2.717022807690287,0.2906071382553912,0.0,0.0,,,29.0,0.0,230.0,0.09115720524017468,1832.0,0.1435705368289637,1.6454167799019983,0.5238794243476035,2020-03-23T20:00:00Z,01,83712877a917de925fb93de8aaa8443850e13f5e,0.0,0.0,,0.0,0.0,,1665.0,201.0,0.0,,0.0,1832.0,,AL,1832.0
2020-03-24,0.07930881701373504,215.0,0.28742514970059885,2.7150010830063667,0.29085233770909635,0.0,0.0,,,48.0,0.0,489.0,0.0926324859974149,2321.0,0.2669213973799127,1.3512128892421682,0.6702636274226734,2020-03-24T20:00:00Z,01,c212a8468e01e67b91f78d053b0440276641d84f,0.0,0.0,,0.0,0.0,,2106.0,441.0,0.0,,0.0,2321.0,,AL,2321.0
2020-03-25,0.08655953250547845,283.0,0.3162790697674418,2.6706382498497065,0.2963383586006554,0.0,0.0,,,68.0,0.0,491.0,0.10064011379800854,2812.0,0.21154674709177068,1.3338598869874136,0.6814477288240623,2020-03-25T20:00:00Z,01,2f45607dc8271295dd36e91588d93ebaa1bc3110,0.0,0.0,,0.0,0.0,,2529.0,423.0,0.0,,0.0,2812.0,,AL,2812.0
2020-03-26,0.10941793654758931,506.0,0.7879858657243817,2.417518805498616,0.33204908687106083,1.0,0.0,,,223.0,1.0,1287.0,0.12344474262015126,4099.0,0.4576813655761025,1.292444387450452,0.7096816118718992,2020-03-26T20:00:00Z,01,fbb44aa6b758e39d9ca03edb761c2463bc6d09e7,0.0,0.0,,0.0,0.0,,3593.0,1064.0,0.0,,0.0,4099.0,,AL,4099.0
2020-03-27,0.10853710853710853,587.0,0.16007905138339917,2.4498080781671545,0.3270247161179949,3.0,2.0,,,81.0,2.0,672.0,0.12303500314399497,4771.0,0.16394242498170275,1.2839580193912268,0.7157527460945625,2020-03-27T20:00:00Z,01,07d7df62adf5e730a3da751291c1fba471551397,0.0,0.0,,0.0,0.0,,4184.0,591.0,0.0,,0.0,4771.0,,AL,4771.0
2020-03-28,0.12098138747884941,696.0,0.18568994889267465,2.8126601371528883,0.2794602371221171,3.0,0.0,,,109.0,0.0,109.0,0.14262295081967213,4880.0,0.022846363445818474,1.3986746385691569,0.6414406191747475,2020-03-28T20:00:00Z,01,63de5e074e982530fe275d036c8318c14eabf49f,0.0,0.0,,0.0,0.0,,4184.0,0.0,0.0,,0.0,4880.0,,AL,4880.0
2020-03-29,0.19716646989374262,806.0,0.15804597701149414,2.7492903601193324,0.2867486104016197,4.0,0.33333333333333326,,,110.0,1.0,110.0,0.16152304609218437,4990.0,0.02254098360655732,4.270465235723895,0.17622700919095524,2020-03-29T20:00:00Z,01,0c2a7ece10172b9bd60b53579fd6d9a53f5e9f03,0.0,0.0,,0.0,0.0,,4184.0,0.0,0.0,,0.0,4990.0,,AL,4990.0
2020-03-30,0.1465791145943656,859.0,0.06575682382133996,2.962574187124465,0.26360389549471375,6.0,0.5,,,53.0,2.0,1563.0,0.13108499923699068,6553.0,0.3132264529058115,3.806962985599264,0.1997024019790523,2020-03-30T20:00:00Z,01,4552863c924f79edb83615e6b3642696b80a83cf,0.0,0.0,,0.0,0.0,,5694.0,1510.0,0.0,,0.0,6553.0,,AL,6553.0
2020-03-31,0.15449778136345302,981.0,0.14202561117578583,3.196468940574761,0.2421550018425389,13.0,1.1666666666666665,,,122.0,7.0,726.0,0.1347712597884325,7279.0,0.11078895162520985,4.2450130784849005,0.17737225398086331,2020-03-31T20:00:00Z,01,42eecba7755e229592355c2a117a0c76245f655a,0.0,0.0,,0.0,0.0,,6298.0,604.0,0.0,,0.0,7279.0,,AL,7279.0
2020-04-01,0.1600161225312374,1077.0,0.09785932721712531,3.630433692171199,0.21037088073193533,26.0,1.0,,,96.0,13.0,495.0,0.13853871880627733,7774.0,0.06800384668223658,4.77144598787769,0.1563515545224763,2020-04-01T20:00:00Z,01,9bd398e733a5ca5042bde1fd8ce2831fc248b0b1,0.0,0.0,,0.0,0.0,,6697.0,399.0,0.0,,0.0,7774.0,,AL,7774.0
2020-04-02,0.15678240241535477,1233.0,0.14484679665738165,5.447625513963291,0.1356877389627753,32.0,0.23076923076923084,1.4,0.6406707120152759,156.0,6.0,962.0,0.1411401098901099,8736.0,0.12374581939799323,6.41201286559399,0.11416064830465733,2020-04-02T20:00:00Z,01,1a78d31c95bd0d315fc61461107fcd8c66e53b43,0.0,0.0,,0.0,0.0,,7503.0,806.0,0.0,,0.0,8736.0,,AL,8736.0
2020-04-03,0.1742986798679868,1432.0,0.16139497161394978,5.44070028201654,0.13587168559604645,35.0,0.09375,1.9749906838160165,0.42043370815864933,199.0,3.0,883.0,0.14887202411893127,9619.0,0.1010760073260073,6.919763737001097,0.10535792607380956,2020-04-03T20:00:00Z,01,2321b8fce440dd33ac0feef0e923113ffffbf603,0.0,0.0,,0.0,0.0,,8187.0,684.0,0.0,,0.0,9619.0,,AL,9619.0
2020-04-04,0.1479993303197723,1580.0,0.1033519553072626,5.918333688485378,0.12425280083239021,43.0,0.22857142857142865,1.8222986729944342,0.46282528074052776,148.0,8.0,1234.0,0.14558186676494977,10853.0,0.12828776380081086,6.07037733684914,0.12095969452401767,2020-04-04T20:00:00Z,01,963802ea3a71c8b5d74fec7b17f1fb98e9547168,212.0,212.0,,212.0,0.0,,9273.0,1086.0,0.0,,0.0,10853.0,,AL,10853.0
2020-04-05,0.12240356083086053,1796.0,0.13670886075949373,6.055700648353457,0.12126995292050169,45.0,0.04651162790697683,2.004666235059481,0.4130731554740672,216.0,2.0,2225.0,0.13732986695213337,13078.0,0.20501243895697052,5.0358617827965855,0.14756489766611192,2020-04-05T20:00:00Z,01,3f2c1f28926eeadf623d04aeb3716d29c5394d3c,231.0,231.0,,19.0,0.0,,11282.0,2009.0,0.0,,0.0,13078.0,,AL,13078.0
2020-04-06,0.13504627374573794,1968.0,0.09576837416481077,5.852841907944801,0.12572713049739903,50.0,0.11111111111111116,2.2884090496671763,0.3537720277936316,172.0,5.0,1687.0,0.13328818151032848,14765.0,0.12899525921394717,5.97293108777089,0.12304986629286097,2020-04-06T20:00:00Z,01,2efa35d0a2dc1dac3c6e12ced852169b719f14ea,240.0,240.0,,9.0,0.0,,12797.0,1515.0,0.0,,0.0,14765.0,,AL,14765.0
2020-04-07,0.1490113919078172,2119.0,0.0767276422764227,6.3002980574135155,0.11629833885643004,56.0,0.1200000000000001,3.322392845705328,0.231987728900112,151.0,6.0,151.0,0.14206221507106462,14916.0,0.010226887910599336,6.762967898492438,0.10792795921732101,2020-04-07T20:00:00Z,01,bc437164edce7423a9a6a0095632666a06d512c4,271.0,271.0,,31.0,0.0,,12797.0,0.0,0.0,,0.0,14916.0,,AL,14916.0
2020-04-08,0.11385266126189637,2369.0,0.11798017932987248,6.1551450994349794,0.11919832382633166,66.0,0.1785714285714286,5.208510045920724,0.14234108889474228,250.0,10.0,4206.0,0.12388871456960569,19122.0,0.2819790828640387,5.390817262112224,0.13721152910093148,2020-04-08T20:00:00Z,01,d7c974f24aac9af8f039f0c9d4627e059267b4a1,314.0,314.0,,43.0,0.0,,16753.0,3956.0,0.0,,0.0,19122.0,,AL,19122.0
