,state_name,statefips,weighted density
0,Minnesota,27,2587.3203149456326
1,Mississippi,28,703.6951056820037
2,Missouri,29,1922.3270265650622
3,Montana,30,1132.250750393153
4,Nebraska,31,2398.0427111490703
5,Nevada,32,5672.2830481140045
6,New Hampshire,33,1340.4926208547304
7,New Jersey,34,8344.383559808004
8,New Mexico,35,2130.618421091133
9,New York,36,29999.88243582452
10,North Carolina,37,1293.2067799183237
11,North Dakota,38,1606.9551588105544
12,Ohio,39,2409.647727006424
13,Oklahoma,40,1688.3704173842257
14,Oregon,41,3389.315637541383
15,Pennsylvania,42,5035.990648487808
16,Rhode Island,44,5080.146841094468
17,South Carolina,45,1097.208110637776
18,South Dakota,46,1109.2482172705966
19,Tennessee,47,1362.4904949057584
20,Texas,48,3364.912114675642
21,Utah,49,3514.8883082936472
22,Vermont,50,970.277131830824
23,Virginia,51,3376.82523041233
24,West Virginia,54,779.7590402433743
25,Washington,53,3731.701441469486
26,Wisconsin,55,2646.499219735534
27,Wyoming,56,1025.177634576085
28,Puerto Rico,72,4369.948818036571
29,Alabama,01,932.0036230302273
30,Alaska,02,1810.1717206230558
31,Arizona,04,3889.6250083718705
32,Arkansas,05,850.7774649523568
33,California,06,8540.126439637535
34,Colorado,08,3809.271566591977
35,Connecticut,09,3621.866364633765
36,Delaware,10,2588.461902752085
37,District of Columbia,11,19103.263483092516
38,Florida,12,4058.5976899751477
39,Georgia,13,1694.665052429299
40,Idaho,16,1587.4356433927394
41,Hawaii,15,8556.658390237886
42,Illinois,17,6774.555117186019
43,Indiana,18,1772.6154611213956
44,Iowa,19,1523.4913289137853
45,Kansas,20,1818.7226988037498
46,Kentucky,21,1538.3494183525215
47,Louisiana,22,2036.9392872070437
48,Maine,23,888.0652010190644
49,Maryland,24,4700.1740773263355
50,Massachusetts,25,6990.68026596852
51,Michigan,26,2538.159136555073
